name,stage,db_src,db_key,family,window,agg,daily_src,hf_factor,formula
vol_open5_share_ma20,roll_trail,min_chars,min_chars_roll,trail,20,mean,vol_open5_share,inday_vol_st5min,mean of daily vol_open5_share over 20 days
vol_highrank_share_ma20,roll_trail,min_chars,min_chars_roll,trail,20,mean,vol_highrank_share,inday_volpct_phigh,mean of daily vol_highrank_share over 20 days
vol_lowrank_share_ma20,roll_trail,min_chars,min_chars_roll,trail,20,mean,vol_lowrank_share,inday_volpct_plow,mean of daily vol_lowrank_share over 20 days
vol_highdev_share_ma20,roll_trail,min_chars,min_chars_roll,trail,20,mean,vol_highdev_share,inday_volpct_devhigh,mean of daily vol_highdev_share over 20 days
high_time_ma20,roll_trail,min_chars,min_chars_roll,trail,20,mean,high_time,inday_high_time,mean of daily high_time over 20 days
incvol_ret_sum20,roll_trail,min_chars,min_chars_roll,trail,20,sum,incvol_ret,inday_incvol_mom,sum of daily incvol_ret over 20 days
vwap_trend_ma20,roll_trail,min_chars,min_chars_roll,trail,20,mean,vwap_trend,inday_trend_avg,mean of daily vwap_trend over 20 days
vwap_trend_std20,roll_trail,min_chars,min_chars_roll,trail,20,std,vwap_trend,inday_trend_std,std of daily vwap_trend over 20 days
vwap_hlvol_ma20,roll_trail,min_chars,min_chars_roll,trail,20,mean,vwap_hlvol,inday_vwap_diff_hlvol,mean of daily vwap_hlvol over 20 days
conf_persist_ma20,roll_trail,min_chars,min_chars_roll,trail,20,mean,conf_persist,inday_conf_persist,mean of daily conf_persist over 20 days
conf_persist_std20,roll_trail,min_chars,min_chars_roll,trail,20,std,conf_persist,inday_conf_persist,std of daily conf_persist over 20 days
ret_path_rethi99,tag,min_chars,min_chars_tag,tag,20+1,tag_today,ret > ret_p99,,(prod(1+ret)-1)*100 on tagged minutes; null if none | ret > ret_p99
ret_mean_rethi99,tag,min_chars,min_chars_tag,tag,20+1,tag_today,ret > ret_p99,,mean(ret) on tagged minutes; null if none | ret > ret_p99
amt_share_rethi99,tag,min_chars,min_chars_tag,tag,20+1,tag_today,ret > ret_p99,,sum(amount_tagged)/sum(amount); 0 if none | ret > ret_p99
ret_path_rethi95,tag,min_chars,min_chars_tag,tag,20+1,tag_today,ret > ret_p95,,(prod(1+ret)-1)*100 on tagged minutes; null if none | ret > ret_p95
ret_mean_rethi95,tag,min_chars,min_chars_tag,tag,20+1,tag_today,ret > ret_p95,,mean(ret) on tagged minutes; null if none | ret > ret_p95
amt_share_rethi95,tag,min_chars,min_chars_tag,tag,20+1,tag_today,ret > ret_p95,,sum(amount_tagged)/sum(amount); 0 if none | ret > ret_p95
ret_path_retlo01,tag,min_chars,min_chars_tag,tag,20+1,tag_today,ret < ret_p01,,(prod(1+ret)-1)*100 on tagged minutes; null if none | ret < ret_p01
ret_mean_retlo01,tag,min_chars,min_chars_tag,tag,20+1,tag_today,ret < ret_p01,,mean(ret) on tagged minutes; null if none | ret < ret_p01
amt_share_retlo01,tag,min_chars,min_chars_tag,tag,20+1,tag_today,ret < ret_p01,,sum(amount_tagged)/sum(amount); 0 if none | ret < ret_p01
ret_path_retlo05,tag,min_chars,min_chars_tag,tag,20+1,tag_today,ret < ret_p05,,(prod(1+ret)-1)*100 on tagged minutes; null if none | ret < ret_p05
ret_mean_retlo05,tag,min_chars,min_chars_tag,tag,20+1,tag_today,ret < ret_p05,,mean(ret) on tagged minutes; null if none | ret < ret_p05
amt_share_retlo05,tag,min_chars,min_chars_tag,tag,20+1,tag_today,ret < ret_p05,,sum(amount_tagged)/sum(amount); 0 if none | ret < ret_p05
ret_path_amthi99,tag,min_chars,min_chars_tag,tag,20+1,tag_today,amount > amt_p99,,(prod(1+ret)-1)*100 on tagged minutes; null if none | amount > amt_p99
ret_mean_amthi99,tag,min_chars,min_chars_tag,tag,20+1,tag_today,amount > amt_p99,,mean(ret) on tagged minutes; null if none | amount > amt_p99
amt_share_amthi99,tag,min_chars,min_chars_tag,tag,20+1,tag_today,amount > amt_p99,,sum(amount_tagged)/sum(amount); 0 if none | amount > amt_p99
ret_path_amthi95,tag,min_chars,min_chars_tag,tag,20+1,tag_today,amount > amt_p95,,(prod(1+ret)-1)*100 on tagged minutes; null if none | amount > amt_p95
ret_mean_amthi95,tag,min_chars,min_chars_tag,tag,20+1,tag_today,amount > amt_p95,,mean(ret) on tagged minutes; null if none | amount > amt_p95
amt_share_amthi95,tag,min_chars,min_chars_tag,tag,20+1,tag_today,amount > amt_p95,,sum(amount_tagged)/sum(amount); 0 if none | amount > amt_p95
ret_path_amtlo01,tag,min_chars,min_chars_tag,tag,20+1,tag_today,amount < amt_p01,,(prod(1+ret)-1)*100 on tagged minutes; null if none | amount < amt_p01
ret_mean_amtlo01,tag,min_chars,min_chars_tag,tag,20+1,tag_today,amount < amt_p01,,mean(ret) on tagged minutes; null if none | amount < amt_p01
amt_share_amtlo01,tag,min_chars,min_chars_tag,tag,20+1,tag_today,amount < amt_p01,,sum(amount_tagged)/sum(amount); 0 if none | amount < amt_p01
ret_path_amtlo05,tag,min_chars,min_chars_tag,tag,20+1,tag_today,amount < amt_p05,,(prod(1+ret)-1)*100 on tagged minutes; null if none | amount < amt_p05
ret_mean_amtlo05,tag,min_chars,min_chars_tag,tag,20+1,tag_today,amount < amt_p05,,mean(ret) on tagged minutes; null if none | amount < amt_p05
amt_share_amtlo05,tag,min_chars,min_chars_tag,tag,20+1,tag_today,amount < amt_p05,,sum(amount_tagged)/sum(amount); 0 if none | amount < amt_p05
